project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1032,Project PAIM-1032 - Metro Line Phase II,Road Transport & Highways,Ministry of Road Transport and Highways,NTPC,Bihar,4311.99,4627.13,1559.38,33.0,2015-04-01,2019-02-09,2020-01-31,2017-05-20,17,11.96,1
PAIM-1039,Project PAIM-1039 - Railway Line Electrification,Railways,Ministry of Railways,GAIL,Bihar,3691.49,4098.08,869.24,23.1,2014-08-01,2019-10-04,2021-08-26,2017-05-17,33,13.22,1
PAIM-1048,Project PAIM-1048 - Railway Line Electrification,Railways,Ministry of Railways,POWERGRID,Maharashtra,1695.86,1695.86,83.65,4.4,2016-08-01,2021-05-07,2021-05-07,2017-05-28,59,39.89,1
PAIM-1051,Project PAIM-1051 - Solar Park Development,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,CPWD,Madhya Pradesh,2418.59,2714.55,1882.61,61.0,2010-09-01,2013-08-16,2014-10-10,2017-05-27,20,12.24,1
PAIM-1169,Project PAIM-1169 - Railway Line Electrification,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Indian Railways,Maharashtra,5240.97,6525.74,4776.49,69.0,2011-12-01,2015-05-14,2017-06-08,2017-05-03,36,24.51,1
PAIM-1239,Project PAIM-1239 - Bridge Construction,Power & Renewable Energy,Ministry of Power,CPWD,Andhra Pradesh,2296.47,2647.35,984.22,37.3,2015-12-01,2018-05-19,2019-08-23,2017-05-24,22,39.29,1
PAIM-1240,Project PAIM-1240 - Solar Park Development,Water Resources,Ministry of Jal Shakti,POWERGRID,Haryana,6342.59,6342.59,1087.17,17.4,2016-08-01,2021-10-04,2021-10-04,2017-05-28,0,2.7,0
PAIM-1264,Project PAIM-1264 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,RVNL,Telangana,3759.13,3759.13,3583.87,85.9,2013-04-01,2018-01-05,2018-01-05,2017-05-10,0,-0.4,0
PAIM-1265,Project PAIM-1265 - Bridge Construction,Telecommunications,Ministry of Communications,CPWD,Bihar,5680.35,5680.35,5585.99,100.0,2012-08-01,2016-01-13,2016-01-13,2017-05-07,0,-2.0,0
PAIM-1286,Project PAIM-1286 - Thermal Power Unit,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,DMRC,Punjab,3582.91,3913.38,2255.56,60.0,2010-09-01,2012-03-24,2013-01-11,2017-05-27,14,9.22,1
PAIM-1295,Project PAIM-1295 - Railway Line Electrification,Water Resources,Ministry of Jal Shakti,POWERGRID,Assam,6845.25,8183.52,4731.37,63.8,2011-12-01,2014-12-15,2015-12-06,2017-05-03,17,19.55,1
PAIM-1298,Project PAIM-1298 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHAI,Uttar Pradesh,7182.32,8241.13,6032.39,79.3,2011-12-01,2016-01-09,2016-11-19,2017-05-03,15,14.74,1
PAIM-1310,Project PAIM-1310 - Bridge Construction,Road Transport & Highways,Ministry of Road Transport and Highways,NHAI,West Bengal,2824.49,2824.49,2627.95,100.0,2014-08-01,2016-11-18,2016-11-18,2017-05-17,0,0.4,0
PAIM-1375,Project PAIM-1375 - Expressway,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,RVNL,Gujarat,8386.02,9618.62,6888.74,74.7,2013-12-01,2017-01-14,2019-05-04,2017-05-14,40,14.7,1
PAIM-1410,Project PAIM-1410 - Thermal Power Unit,Telecommunications,Ministry of Communications,CPWD,Gujarat,3651.89,4035.53,2244.41,60.8,2009-05-01,2013-10-07,2015-04-06,2017-05-19,26,10.51,1
PAIM-1420,Project PAIM-1420 - Bridge Construction,Water Resources,Ministry of Jal Shakti,Coal India Limited,Odisha,1077.38,1168.08,391.34,37.0,2014-08-01,2019-06-06,2020-04-16,2017-05-17,15,10.1,1
PAIM-1425,Project PAIM-1425 - Thermal Power Unit,Road Transport & Highways,Ministry of Road Transport and Highways,NHPC,Assam,942.28,1058.23,549.58,60.0,2010-01-01,2015-08-03,2019-07-22,2017-05-24,69,12.31,1
PAIM-1434,Project PAIM-1434 - Bridge Construction,Telecommunications,Ministry of Communications,Coal India Limited,Madhya Pradesh,6620.28,6620.28,1810.08,24.5,2016-08-01,2020-02-12,2020-02-12,2017-05-28,0,-1.1,0
PAIM-1444,Project PAIM-1444 - Gas Pipeline Expansion,Coal,Ministry of Coal,RVNL,Bihar,8303.79,8303.79,1173.37,12.5,2016-08-01,2019-04-18,2019-04-18,2017-05-28,52,46.26,1
PAIM-1452,Project PAIM-1452 - Bridge Construction,Water Resources,Ministry of Jal Shakti,POWERGRID,Haryana,4123.82,4379.76,401.07,10.1,2015-12-01,2021-08-31,2023-07-24,2017-05-24,33,15.96,1
PAIM-1458,Project PAIM-1458 - Gas Pipeline Expansion,Road Transport & Highways,Ministry of Road Transport and Highways,Coal India Limited,Uttar Pradesh,5049.95,5049.95,5044.16,100.0,2015-04-01,2016-12-21,2016-12-21,2017-05-20,0,0.4,0
PAIM-1493,Project PAIM-1493 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,POWERGRID,Assam,5640.7,6594.32,3418.35,60.0,2011-12-01,2014-12-15,2016-02-29,2017-05-03,21,16.91,1
