project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-617727,Orvakal Industrial Area (NICDC) (617727),Infrastructure & Highways,Ministry of Coal,617727,Andhra Pradesh,2848.12,2848.12,1269.07,44.6,2022-03-01,2028-12-31,2029-12-31,2026-04-01,0,0.0,0
PAIM-617729,Kopparthy Industrial Area (NICDC) (617729),Infrastructure & Highways,Ministry of Coal,617729,Andhra Pradesh,632.93,632.93,174.24,27.5,2022-03-01,2027-12-31,2029-12-31,2026-04-01,6,0.0,0
PAIM-701668,Development of Palakkad Node under extension of CBIC to Kochi (National Industrial Corridor Development Corporation) (70,Infrastructure & Highways,Ministry of Coal,701668,Andhra Pradesh,3254.15,3254.15,2372.48,72.9,2024-03-01,2028-12-31,2028-12-31,2026-04-01,24,0.0,0
PAIM-601812,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor (National Industrial Corridor Development Corp,Infrastructure & Highways,Ministry of Coal,601812,Uttar Pradesh,3542.45,3542.45,2690.52,76.0,2024-03-01,2028-12-31,2027-12-31,2026-04-01,6,0.0,0
PAIM-707419,IMC at Prayagraj (National Industrial Corridor Development Corporation) (707419),Infrastructure & Highways,Ministry of Coal,707419,Uttar Pradesh,1737.12,1737.12,707.01,40.7,2021-03-01,2026-12-31,2028-12-31,2026-04-01,24,0.0,0
PAIM-611961,"Construction of IIT Bhubaneswar -Phase III (Indian Institute of Technology, Bhubaneshwar) (611961)",Infrastructure & Highways,Ministry of Coal,611961,Odisha,2208.38,2208.38,467.49,21.2,2024-03-01,2027-12-31,2027-12-31,2026-04-01,18,0.0,0
PAIM-617764,North Dhadu Western Part OCP (NLC India Limited [NLCIL]) (617764),Infrastructure & Highways,Ministry of Coal,617764,Odisha,3140.73,3140.73,1157.72,36.9,2024-03-01,2027-12-31,2029-12-31,2026-04-01,0,0.0,0
PAIM-618981,810 MW Solar Power Project - Rajasthan (NLC India Limited [NLCIL]) (618981),Infrastructure & Highways,Ministry of Coal,618981,Rajasthan,3926.01,3926.01,2805.33,71.5,2022-03-01,2027-12-31,2029-12-31,2026-04-01,6,0.0,0
PAIM-612878,Bangalore Metro Rail Project - PHASE-3 (Bengaluru Metro Rail) (612878),Infrastructure & Highways,Ministry of Coal,612878,Karnataka,3442.34,3442.34,646.77,18.8,2021-03-01,2026-12-31,2028-12-31,2026-04-01,24,0.0,0
PAIM-702958,Lucknow Sewerage Management Infrastructure Project (Ministry of Housing & Urban Affairs) (702958),Infrastructure & Highways,Ministry of Coal,702958,Karnataka,4196.41,4196.41,1431.9,34.1,2022-03-01,2027-12-31,2027-12-31,2026-04-01,6,0.0,0
