project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-707420,Gaya Integrated Manufacturing Cluster IMC in Bihar (National Industrial Corridor Development Corporation) (707420),Infrastructure & Highways,Ministry of Housing & Urban Affairs,707420,Bihar,1864.75,1864.75,1041.61,55.9,2021-03-01,2026-12-31,2028-12-31,2026-07-01,0,0.0,0
PAIM-701662,IMC Rajpura - Patiala Development Project (National Industrial Corridor Development Corporation) (701662),Infrastructure & Highways,Ministry of Housing & Urban Affairs,701662,Bihar,2511.48,2511.48,1246.08,49.6,2024-03-01,2027-12-31,2028-12-31,2026-07-01,24,0.0,0
PAIM-701661,Development of IMC Khurpia Farms under AKIC Project (National Industrial Corridor Development Corporation) (701661),Infrastructure & Highways,Ministry of Housing & Urban Affairs,701661,Punjab,1499.32,1499.32,920.72,61.4,2024-03-01,2028-12-31,2028-12-31,2026-07-01,12,0.0,0
PAIM-437130,"Amended BharatNet Program - J&K, LAD (Department of Telecommunications) (437130)",Infrastructure & Highways,Ministry of Housing & Urban Affairs,437130,Multi-State,3205.79,3205.79,1558.69,48.6,2023-03-01,2026-12-31,2028-12-31,2026-07-01,12,0.0,0
PAIM-462136,"Amended BharatNet Program - MGH, MZM, TRP (Department of Telecommunications) (462136)",Infrastructure & Highways,Ministry of Housing & Urban Affairs,462136,Multi-State,873.0,873.0,349.34,40.0,2021-03-01,2026-12-31,2027-12-31,2026-07-01,6,0.0,0
PAIM-476006,Amended BharatNet Program - HP (Department of Telecommunications) (476006),Infrastructure & Highways,Ministry of Housing & Urban Affairs,476006,Multi-State,544.38,544.38,82.92,15.2,2021-03-01,2027-12-31,2027-12-31,2026-07-01,18,0.0,0
PAIM-660056,Amended BharatNet Program - KL (Department of Telecommunications) (660056),Infrastructure & Highways,Ministry of Housing & Urban Affairs,660056,Multi-State,3756.75,3756.75,1658.96,44.2,2021-03-01,2028-12-31,2028-12-31,2026-07-01,18,0.0,0
PAIM-665021,Amended BharatNet Program - UKD (Department of Telecommunications) (665021),Infrastructure & Highways,Ministry of Housing & Urban Affairs,665021,Multi-State,2628.35,2628.35,1195.55,45.5,2024-03-01,2028-12-31,2027-12-31,2026-07-01,6,0.0,0
PAIM-914467,Amended BharatNet Program - BR (Department of Telecommunications) (914467),Infrastructure & Highways,Ministry of Housing & Urban Affairs,914467,Multi-State,513.13,513.13,215.07,41.9,2024-03-01,2026-12-31,2028-12-31,2026-07-01,24,0.0,0
PAIM-938832,Amended BharatNet Program - RJ (Department of Telecommunications) (938832),Infrastructure & Highways,Ministry of Housing & Urban Affairs,938832,Multi-State,2229.61,2229.61,1389.03,62.3,2023-03-01,2027-12-31,2027-12-31,2026-07-01,12,0.0,0
PAIM-946208,Amended BharatNet Program - SKM (Department of Telecommunications) (946208),Infrastructure & Highways,Ministry of Housing & Urban Affairs,946208,Multi-State,930.29,930.29,170.34,18.3,2023-03-01,2028-12-31,2028-12-31,2026-07-01,36,0.0,0
PAIM-976009,"Amended BharatNet Program - ARP, NGL, MNP (Department of Telecommunications) (976009)",Infrastructure & Highways,Ministry of Housing & Urban Affairs,976009,Multi-State,1094.05,1094.05,796.29,72.8,2023-03-01,2026-12-31,2028-12-31,2026-07-01,6,0.0,0
PAIM-317725,Amended BharatNet Program - OD (Department of Telecommunications) (317725),Infrastructure & Highways,Ministry of Housing & Urban Affairs,317725,Multi-State,4262.26,4262.26,3386.66,79.5,2022-03-01,2028-12-31,2029-12-31,2026-07-01,18,0.0,0
PAIM-124199,Amended BharatNet Program - HR (Department of Telecommunications) (124199),Infrastructure & Highways,Ministry of Housing & Urban Affairs,124199,Multi-State,3862.4,3862.4,3150.27,81.6,2021-03-01,2028-12-31,2029-12-31,2026-07-01,36,0.0,0
PAIM-171218,Amended BharatNet Program - PB (Department of Telecommunications) (171218),Infrastructure & Highways,Ministry of Housing & Urban Affairs,171218,Multi-State,815.34,815.34,306.46,37.6,2024-03-01,2027-12-31,2027-12-31,2026-07-01,12,0.0,0
PAIM-175860,"Amended BharatNet Program - MP, DD and DNH (Department of Telecommunications) (175860)",Infrastructure & Highways,Ministry of Housing & Urban Affairs,175860,Multi-State,2531.15,2531.15,879.75,34.8,2021-03-01,2028-12-31,2029-12-31,2026-07-01,0,0.0,0
