project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-707410,Infrastructure Development Phase 1 (National Highways & Infrastructure Development Corporation Ltd. [NHIDCL]) (707410),Infrastructure & Highways,Ministry of Civil Aviation,707410,Haryana,3736.87,3736.87,1531.99,41.0,2023-03-01,2027-12-31,2029-12-31,2026-01-01,36,0.0,0
PAIM-619033,and Faculty Residence - 72 nos. Flats (NIT Rourkela) (619033),Infrastructure & Highways,Ministry of Civil Aviation,619033,Odisha,3364.49,3364.49,2609.79,77.6,2021-03-01,2026-12-31,2028-12-31,2026-01-01,36,0.0,0
PAIM-619054,Development of Keshod Airport. (Airport Authority of India [AAI]) (619054),Infrastructure & Highways,Ministry of Civil Aviation,619054,Odisha,2024.44,2024.44,1422.75,70.3,2021-03-01,2026-12-31,2028-12-31,2026-01-01,18,0.0,0
PAIM-619032,JAYANT EXPN. [20 TO 38 MTPA] (Northern Coalfields Limited [NCL]) (619032),Infrastructure & Highways,Ministry of Civil Aviation,619032,Gujarat,1252.77,1252.77,484.42,38.7,2023-03-01,2028-12-31,2027-12-31,2026-01-01,6,0.0,0
PAIM-619053,RPR FOR RAMPUR BATURA OCP (SECL - CIL) (619053),Infrastructure & Highways,Ministry of Civil Aviation,619053,Maharashtra,4105.99,4105.99,3257.83,79.3,2022-03-01,2027-12-31,2029-12-31,2026-01-01,0,0.0,0
PAIM-619055,SAONER-III EXPN UG MINE 1.54 (Western Coalfields Limited [WCL]) (619055),Infrastructure & Highways,Ministry of Civil Aviation,619055,Maharashtra,3447.77,3447.77,989.65,28.7,2022-03-01,2026-12-31,2028-12-31,2026-01-01,0,0.0,0
PAIM-707020,"Establishment of new GMC Jamui (Medical Education, Ministry of Health and Family Welfare) (707020)",Infrastructure & Highways,Ministry of Civil Aviation,707020,Bihar,2286.08,2286.08,1879.94,82.2,2021-03-01,2026-12-31,2028-12-31,2026-01-01,6,0.0,0
PAIM-707044,"Establishment of new GMC Korba (Medical Education, Ministry of Health and Family Welfare) (707044)",Infrastructure & Highways,Ministry of Civil Aviation,707044,Bihar,3078.67,3078.67,1957.33,63.6,2023-03-01,2027-12-31,2027-12-31,2026-01-01,12,0.0,0
PAIM-707045,"Establishment of new GMC Mahasamund (Medical Education, Ministry of Health and Family Welfare) (707045)",Infrastructure & Highways,Ministry of Civil Aviation,707045,Multi-State,2301.68,2301.68,1952.65,84.8,2021-03-01,2028-12-31,2029-12-31,2026-01-01,6,0.0,0
PAIM-707046,"Establishment of new GMC Kanker (Medical Education, Ministry of Health and Family Welfare) (707046)",Infrastructure & Highways,Ministry of Civil Aviation,707046,Gujarat,1630.45,1630.45,908.43,55.7,2023-03-01,2026-12-31,2029-12-31,2026-01-01,0,0.0,0
PAIM-707049,"Establishment of new GMC Panchmahal (Medical Education, Ministry of Health and Family Welfare) (707049)",Infrastructure & Highways,Ministry of Civil Aviation,707049,Gujarat,375.99,375.99,266.48,70.9,2021-03-01,2027-12-31,2027-12-31,2026-01-01,6,0.0,0
PAIM-707050,"Establishment of new GMC Porbandar (Medical Education, Ministry of Health and Family Welfare) (707050)",Infrastructure & Highways,Ministry of Civil Aviation,707050,Gujarat,968.75,968.75,135.89,14.0,2024-03-01,2028-12-31,2027-12-31,2026-01-01,18,0.0,0
PAIM-707021,"Establishment of new GMC Koderma (Medical Education, Ministry of Health and Family Welfare) (707021)",Infrastructure & Highways,Ministry of Civil Aviation,707021,Gujarat,3007.19,3007.19,2198.04,73.1,2021-03-01,2028-12-31,2029-12-31,2026-01-01,24,0.0,0
PAIM-707022,"Establishment of new GMC Chaibasa [Singhbhum] (Medical Education, Ministry of Health and Family Welfare) (707022)",Infrastructure & Highways,Ministry of Civil Aviation,707022,Madhya Pradesh,3368.71,3368.71,2580.3,76.6,2024-03-01,2027-12-31,2027-12-31,2026-01-01,18,0.0,0
PAIM-707058,"Establishment of new GMC Rajgarh (Medical Education, Ministry of Health and Family Welfare) (707058)",Infrastructure & Highways,Ministry of Civil Aviation,707058,Madhya Pradesh,3722.88,3722.88,726.59,19.5,2023-03-01,2027-12-31,2028-12-31,2026-01-01,12,0.0,0
PAIM-707059,"Establishment of new GMC Mandla (Medical Education, Ministry of Health and Family Welfare) (707059)",Infrastructure & Highways,Ministry of Civil Aviation,707059,Madhya Pradesh,1953.16,1953.16,245.5,12.6,2023-03-01,2026-12-31,2029-12-31,2026-01-01,6,0.0,0
PAIM-707069,"Establishment of new GMC Kapurthala (Medical Education, Ministry of Health and Family Welfare) (707069)",Infrastructure & Highways,Ministry of Civil Aviation,707069,Madhya Pradesh,3565.3,3565.3,916.91,25.7,2024-03-01,2028-12-31,2028-12-31,2026-01-01,36,0.0,0
PAIM-707070,"Establishment of new GMC Hoshiarpur (Medical Education, Ministry of Health and Family Welfare) (707070)",Infrastructure & Highways,Ministry of Civil Aviation,707070,Punjab,834.36,834.36,99.21,11.9,2021-03-01,2028-12-31,2029-12-31,2026-01-01,18,0.0,0
PAIM-707039,"Establishment of new GMC Gangtok (Medical Education, Ministry of Health and Family Welfare) (707039)",Infrastructure & Highways,Ministry of Civil Aviation,707039,Punjab,2100.22,2100.22,855.69,40.7,2024-03-01,2026-12-31,2029-12-31,2026-01-01,18,0.0,0
PAIM-707086,"Establishment of new GMC Rudrapur (Medical Education, Ministry of Health and Family Welfare) (707086)",Infrastructure & Highways,Ministry of Civil Aviation,707086,Multi-State,4156.75,4156.75,3362.17,80.9,2024-03-01,2027-12-31,2029-12-31,2026-01-01,12,0.0,0
PAIM-707087,"Establishment of new GMC Pithoragarh (Medical Education, Ministry of Health and Family Welfare) (707087)",Infrastructure & Highways,Ministry of Civil Aviation,707087,Delhi,421.65,421.65,69.64,16.5,2022-03-01,2027-12-31,2027-12-31,2026-01-01,36,0.0,0
PAIM-619031,Delhi Metro Rail Phase V A (Delhi Metro Rail Corporation Limited [DMRC]) (619031),Infrastructure & Highways,Ministry of Civil Aviation,619031,Delhi,387.59,387.59,83.08,21.4,2023-03-01,2026-12-31,2029-12-31,2026-01-01,12,0.0,0
PAIM-619022,"Expressway, Gurugram. (Gurugram Metro Rail Limited (GMRL)) (619022)",Infrastructure & Highways,Ministry of Power,619022,Uttar Pradesh,1103.28,1103.28,656.9,59.5,2024-03-01,2026-12-31,2029-12-31,2026-01-01,18,0.0,0
PAIM-619052,LUCKNOW METRO RAIL PROJECT PHASE-1B EAST WEST CORRIDOR (Uttar Pradesh metro rail corporation [UPMRC]) (619052),Infrastructure & Highways,Ministry of Power,619052,Uttar Pradesh,3037.8,3037.8,1048.26,34.5,2023-03-01,2028-12-31,2028-12-31,2026-01-01,0,0.0,0
PAIM-619051,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW] (National Thermal Power Corporation [NTPC]) (619051)",Infrastructure & Highways,Ministry of Power,619051,Gujarat,1976.18,1976.18,1554.34,78.7,2024-03-01,2027-12-31,2029-12-31,2026-01-01,6,0.0,0
PAIM-619026,KPSIII HVDC Transmission Limited (Adani Transmission Limited) (619026),Infrastructure & Highways,Ministry of Power,619026,Gujarat,3718.11,3718.11,1863.08,50.1,2021-03-01,2027-12-31,2027-12-31,2026-01-01,12,0.0,0
PAIM-619029,Transmission System for Reliable Power Supply to Dholera (Power Grid Corporation of India Limited [POWERGRID]) (619029),Infrastructure & Highways,Ministry of Power,619029,Gujarat,2549.26,2549.26,1771.92,69.5,2021-03-01,2026-12-31,2029-12-31,2026-01-01,18,0.0,0
PAIM-619049,Khavda IVA Power Transmission Limited (Adani Transmission Limited) (619049),Infrastructure & Highways,Ministry of Power,619049,Gujarat,2279.64,2279.64,296.47,13.0,2022-03-01,2026-12-31,2028-12-31,2026-01-01,12,0.0,0
PAIM-619028,Kerala (Power Grid Corporation of India Limited [POWERGRID]) (619028),Infrastructure & Highways,Ministry of Power,619028,Gujarat,1965.08,1965.08,1133.2,57.7,2024-03-01,2026-12-31,2029-12-31,2026-01-01,24,0.0,0
PAIM-619024,Mahan Transmission Limited (Adani Transmission Limited) (619024),Infrastructure & Highways,Ministry of Power,619024,Maharashtra,3232.41,3232.41,371.18,11.5,2024-03-01,2026-12-31,2029-12-31,2026-01-01,6,0.0,0
PAIM-619027,WRNES Talegaon Power Transmission Limited (Adani Transmission Limited) (619027),Infrastructure & Highways,Ministry of Power,619027,Maharashtra,1019.11,1019.11,643.83,63.2,2022-03-01,2026-12-31,2029-12-31,2026-01-01,36,0.0,0
PAIM-619030,Inter-Regional Strengthening between SR Grid and ER Grid (Power Grid Corporation of India Limited [POWERGRID]) (619030),Infrastructure & Highways,Ministry of Power,619030,Maharashtra,2553.83,2553.83,1811.04,70.9,2024-03-01,2026-12-31,2028-12-31,2026-01-01,0,0.0,0
PAIM-619025,RAJASTHAN PART I POWER TRANSMISSION LIMITED (Adani Transmission Limited) (619025),Infrastructure & Highways,Ministry of Power,619025,Odisha,2844.27,2844.27,1279.18,45.0,2024-03-01,2027-12-31,2027-12-31,2026-01-01,18,0.0,0
PAIM-611855,Gauge Conversion [152 Km] (North Western Railway [NWR]) (611855),Infrastructure & Highways,Ministry of Power,611855,Rajasthan,4261.51,4261.51,2998.86,70.4,2022-03-01,2028-12-31,2028-12-31,2026-01-01,36,0.0,0
PAIM-619160,Balance works in AP Portion and punch list items in TN & AP portion of NH-205 (National Highways Authority of India [NHA,Infrastructure & Highways,Ministry of Power,619160,Andhra Pradesh,3449.29,3449.29,2323.77,67.4,2023-03-01,2027-12-31,2028-12-31,2026-01-01,12,0.0,0
PAIM-619076,Gundugolanu Section from km. 0.00 to km. 30.00 Pkg-III (National Highways Authority of India [NHAI]) (619076),Infrastructure & Highways,Ministry of Power,619076,Andhra Pradesh,803.83,803.83,671.29,83.5,2022-03-01,2027-12-31,2028-12-31,2026-01-01,24,0.0,0
PAIM-617987,250/000Design Ch.186000 to 248010 to 2LPS (MoRTH) (617987),Infrastructure & Highways,Ministry of Power,617987,Andhra Pradesh,3664.78,3664.78,3002.8,81.9,2022-03-01,2028-12-31,2028-12-31,2026-01-01,18,0.0,0
PAIM-617988,section   including Nandyal Bypass      from Km 143/6 to 185/9       NH-167K (MoRTH) (617988),Infrastructure & Highways,Ministry of Power,617988,Andhra Pradesh,586.87,586.87,146.38,24.9,2024-03-01,2026-12-31,2027-12-31,2026-01-01,6,0.0,0
PAIM-618052,Andhra Pradesh (MoRTH) (618052),Infrastructure & Highways,Ministry of Power,618052,Andhra Pradesh,1759.18,1759.18,828.35,47.1,2022-03-01,2028-12-31,2029-12-31,2026-01-01,18,0.0,0
PAIM-618053,Km    in the State of Andhra Pradesh on EPC mode Job no. 741 (MoRTH) (618053),Infrastructure & Highways,Ministry of Power,618053,Odisha,1464.76,1464.76,597.92,40.8,2023-03-01,2028-12-31,2028-12-31,2026-01-01,24,0.0,0
PAIM-618125,paved Shoulders in the State of Andhra Pradesh under NHO on EPC Mode (MoRTH) (618125),Infrastructure & Highways,Ministry of Power,618125,Odisha,3813.79,3813.79,1858.95,48.7,2021-03-01,2027-12-31,2028-12-31,2026-01-01,36,0.0,0
PAIM-618525,on EPC mode under NHO (National Highways Authority of India [NHAI]) (618525),Infrastructure & Highways,Ministry of Power,618525,Andhra Pradesh,1555.01,1555.01,1116.58,71.8,2022-03-01,2026-12-31,2028-12-31,2026-01-01,6,0.0,0
PAIM-618579,NH-16 (National Highways Authority of India [NHAI]) (618579),Infrastructure & Highways,Ministry of Power,618579,Andhra Pradesh,2979.22,2979.22,2501.52,84.0,2021-03-01,2026-12-31,2028-12-31,2026-01-01,18,0.0,0
PAIM-618718,Narayanmpet Ch. 203500Package-09 (National Highways Authority of India [NHAI]) (618718),Infrastructure & Highways,Ministry of Power,618718,Andhra Pradesh,956.76,956.76,234.78,24.5,2021-03-01,2026-12-31,2027-12-31,2026-01-01,24,0.0,0
PAIM-618401,Pkg-3 (NHIDCL) (618401),Infrastructure & Highways,Ministry of Power,618401,Assam,292.51,292.51,218.24,74.6,2021-03-01,2026-12-31,2029-12-31,2026-01-01,12,0.0,0
PAIM-618934,Guwahati Ring Road in the State of Assam (National Highways Authority of India [NHAI]) (618934),Infrastructure & Highways,Ministry of Power,618934,Assam,2357.19,2357.19,613.09,26.0,2021-03-01,2026-12-31,2027-12-31,2026-01-01,6,0.0,0
PAIM-618309,Nilambazar/Cheragi Bypass in the state of Assam on HAM Mode Package-4 (NHIDCL) (618309),Infrastructure & Highways,Ministry of Power,618309,Assam,3905.43,3905.43,997.96,25.6,2024-03-01,2026-12-31,2028-12-31,2026-01-01,0,0.0,0
