project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1036,Project PAIM-1036 - Solar Park Development,Road Transport & Highways,Ministry of Road Transport and Highways,CPWD,Uttar Pradesh,6968.61,7600.23,5435.2,80.8,2007-08-01,2010-09-14,2011-10-17,2011-09-09,19,9.06,1
PAIM-1050,Project PAIM-1050 - Thermal Power Unit,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,GAIL,Rajasthan,3527.45,4084.0,3328.52,80.8,2007-08-01,2011-06-11,2013-04-13,2011-09-09,32,15.78,1
PAIM-1055,Project PAIM-1055 - Expressway,Coal,Ministry of Coal,NHPC,Andhra Pradesh,5973.89,6178.77,801.66,14.6,2010-04-01,2014-06-09,2017-08-07,2011-09-23,55,8.82,1
PAIM-1074,Project PAIM-1074 - Bridge Construction,Telecommunications,Ministry of Communications,GAIL,Rajasthan,4535.11,5234.45,3233.84,61.5,2007-08-01,2012-07-05,2013-04-24,2011-09-09,14,15.42,1
PAIM-1137,Project PAIM-1137 - Thermal Power Unit,Telecommunications,Ministry of Communications,POWERGRID,West Bengal,5346.57,6505.48,5234.49,74.2,2006-04-01,2011-05-05,2012-11-22,2011-09-02,27,21.68,1
PAIM-1157,Project PAIM-1157 - Expressway,Water Resources,Ministry of Jal Shakti,NHPC,Odisha,7511.88,7511.88,1511.69,21.8,2010-12-01,2014-12-10,2014-12-10,2011-09-27,0,-0.8,0
PAIM-1210,Project PAIM-1210 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,Coal India Limited,Uttar Pradesh,4998.39,5809.84,4040.77,76.7,2005-09-01,2011-02-02,2012-05-08,2011-09-30,22,16.23,1
PAIM-1229,Project PAIM-1229 - Expressway,Power & Renewable Energy,Ministry of Power,NHAI,Odisha,534.63,577.65,370.8,60.0,2004-05-01,2008-09-07,2010-07-11,2011-09-22,32,8.05,1
PAIM-1259,Project PAIM-1259 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,POWERGRID,Maharashtra,7519.84,8611.44,2822.84,34.1,2008-04-01,2013-12-31,2015-06-09,2011-09-13,25,14.52,1
PAIM-1261,Project PAIM-1261 - Railway Line Electrification,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,DMRC,Assam,3443.9,4181.89,488.9,11.6,2009-08-01,2015-05-02,2019-10-25,2011-09-20,78,35.07,1
PAIM-1283,Project PAIM-1283 - Metro Line Phase II,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,Coal India Limited,Odisha,5394.05,5978.26,4359.05,74.0,2005-01-01,2008-04-15,2009-02-24,2011-09-27,15,10.83,1
PAIM-1299,Project PAIM-1299 - Bridge Construction,Telecommunications,Ministry of Communications,GAIL,Bihar,6667.78,6667.78,6667.78,100.0,2007-08-01,2009-11-18,2009-11-18,2011-09-09,0,-1.2,0
PAIM-1324,Project PAIM-1324 - Railway Line Electrification,Coal,Ministry of Coal,CPWD,Telangana,6392.44,6392.44,6392.44,100.0,2003-09-01,2008-05-07,2008-05-07,2011-09-19,0,-0.8,0
PAIM-1325,Project PAIM-1325 - Metro Line Phase II,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Coal India Limited,Punjab,2356.9,2356.9,2356.9,100.0,2004-05-01,2009-08-03,2009-08-03,2011-09-22,0,0.0,0
PAIM-1329,Project PAIM-1329 - Thermal Power Unit,Telecommunications,Ministry of Communications,GAIL,Rajasthan,3897.91,5151.78,2699.47,60.0,2006-04-01,2008-09-17,2010-01-12,2011-09-02,23,32.17,1
PAIM-1360,Project PAIM-1360 - Metro Line Phase II,Telecommunications,Ministry of Communications,DMRC,Odisha,4838.34,5788.5,4413.38,71.5,2008-04-01,2010-09-18,2012-03-17,2011-09-13,26,19.64,1
PAIM-1362,Project PAIM-1362 - Expressway,Road Transport & Highways,Ministry of Road Transport and Highways,DMRC,Maharashtra,6659.09,8233.49,5182.84,60.0,2006-04-01,2011-05-05,2015-01-08,2011-09-02,64,23.64,1
PAIM-1369,Project PAIM-1369 - Expressway,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,DMRC,Madhya Pradesh,7145.98,7145.98,1176.67,16.9,2010-12-01,2016-04-03,2016-04-03,2011-09-27,0,2.7,0
PAIM-1412,Project PAIM-1412 - Railway Line Electrification,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,CPWD,West Bengal,5890.33,6285.23,1708.72,23.9,2009-08-01,2013-11-08,2017-06-02,2011-09-20,62,10.97,1
PAIM-1418,Project PAIM-1418 - Thermal Power Unit,Coal,Ministry of Coal,NHPC,Madhya Pradesh,6883.46,8572.74,6435.63,74.7,2008-04-01,2011-05-16,2012-05-06,2011-09-13,17,24.54,1
PAIM-1435,Project PAIM-1435 - Railway Line Electrification,Power & Renewable Energy,Ministry of Power,NHAI,Punjab,2900.1,3189.78,1957.74,60.0,2005-09-01,2008-11-14,2010-07-15,2011-09-30,29,9.99,1
PAIM-1453,Project PAIM-1453 - Metro Line Phase II,Railways,Ministry of Railways,CPWD,Haryana,7880.33,7880.33,7880.33,100.0,2004-05-01,2008-01-11,2008-01-11,2011-09-22,0,4.2,0
PAIM-1496,Project PAIM-1496 - Gas Pipeline Expansion,Road Transport & Highways,Ministry of Road Transport and Highways,RVNL,West Bengal,1458.52,1619.8,1184.3,80.8,2007-08-01,2009-04-22,2009-10-28,2011-09-09,9,11.06,1
