project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,8280.09,725.78,9.7,2018-02-01,2021-09-13,2021-09-13,2018-11-28,13,16.37,1
PAIM-1030,Project PAIM-1030 - Solar Park Development,Water Resources,Ministry of Jal Shakti,NHAI,Gujarat,3997.5,3997.5,3499.23,100.0,2014-02-01,2016-01-22,2016-01-22,2018-11-07,0,1.4,0
PAIM-1046,Project PAIM-1046 - Solar Park Development,Railways,Ministry of Railways,GAIL,Gujarat,3349.21,3744.84,3044.76,77.5,2014-02-01,2016-03-22,2016-09-27,2018-11-07,9,11.81,1
PAIM-1054,Project PAIM-1054 - Metro Line Phase II,Telecommunications,Ministry of Communications,DMRC,Madhya Pradesh,5959.21,6446.05,1815.28,25.1,2016-10-01,2020-07-12,2024-11-03,2018-11-20,75,13.37,1
PAIM-1072,Project PAIM-1072 - Gas Pipeline Expansion,Road Transport & Highways,Ministry of Road Transport and Highways,NHPC,Tamil Nadu,1556.51,1883.36,1110.89,59.4,2014-10-01,2019-08-06,2021-11-01,2018-11-09,39,21.0,1
PAIM-1138,Project PAIM-1138 - Solar Park Development,Road Transport & Highways,Ministry of Road Transport and Highways,ONGC,Gujarat,3297.83,3609.21,2283.56,60.8,2010-11-01,2012-06-23,2013-03-23,2018-11-19,13,9.44,1
PAIM-1149,Project PAIM-1149 - Railway Line Electrification,Power & Renewable Energy,Ministry of Power,POWERGRID,Rajasthan,1587.12,1866.79,1489.73,81.0,2015-06-01,2017-02-20,2017-07-16,2018-11-12,7,17.62,1
PAIM-1162,Project PAIM-1162 - Railway Line Electrification,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHAI,Tamil Nadu,5754.16,7226.56,4037.98,60.0,2012-11-01,2015-01-20,2016-07-19,2018-11-30,26,25.59,1
PAIM-1187,Project PAIM-1187 - Metro Line Phase II,Telecommunications,Ministry of Communications,NTPC,Punjab,7986.33,7986.33,6956.35,100.0,2012-03-01,2013-12-21,2013-12-21,2018-11-25,0,3.8,0
PAIM-1253,Project PAIM-1253 - Expressway,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Assam,7377.52,7377.52,7360.73,91.6,2014-10-01,2019-03-09,2019-03-09,2018-11-09,0,-1.5,0
PAIM-1337,Project PAIM-1337 - Expressway,Coal,Ministry of Coal,NHPC,Tamil Nadu,7616.42,7879.13,1027.58,12.6,2017-06-01,2022-02-05,2024-02-10,2018-11-23,35,8.87,1
PAIM-1351,Project PAIM-1351 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,RVNL,Andhra Pradesh,8271.43,10179.39,6042.29,55.4,2016-02-01,2019-06-15,2021-04-17,2018-11-17,32,27.68,1
PAIM-1371,Project PAIM-1371 - Metro Line Phase II,Power & Renewable Energy,Ministry of Power,NHAI,Madhya Pradesh,1065.46,1065.46,1065.46,100.0,2016-02-01,2018-02-20,2018-02-20,2018-11-17,0,1.8,0
PAIM-1376,Project PAIM-1376 - Bridge Construction,Road Transport & Highways,Ministry of Road Transport and Highways,DMRC,Gujarat,7287.08,7287.08,6711.18,100.0,2012-03-01,2014-05-20,2014-05-20,2018-11-25,0,-1.1,0
PAIM-1378,Project PAIM-1378 - Metro Line Phase II,Telecommunications,Ministry of Communications,CPWD,Rajasthan,5157.53,5764.75,3497.34,64.2,2011-07-01,2017-01-30,2019-04-28,2018-11-21,39,11.77,1
PAIM-1379,Project PAIM-1379 - Expressway,Railways,Ministry of Railways,NHPC,Rajasthan,777.94,947.93,621.84,60.0,2013-06-01,2017-01-11,2019-02-06,2018-11-02,36,21.85,1
PAIM-1406,Project PAIM-1406 - Railway Line Electrification,Water Resources,Ministry of Jal Shakti,NHAI,Odisha,5608.03,5608.03,4607.67,93.8,2015-06-01,2019-01-11,2019-01-11,2018-11-12,0,-1.8,0
PAIM-1432,Project PAIM-1432 - Thermal Power Unit,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,POWERGRID,Karnataka,2701.56,3001.27,2085.39,60.8,2010-11-01,2013-12-15,2014-12-06,2018-11-19,17,11.09,1
