project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,4443.86,100.0,2003-05-01,2007-06-09,2007-06-09,2009-05-29,0,4.8,0
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,3447.26,1336.9,37.1,2008-08-01,2010-01-23,2010-01-23,2009-05-28,13,29.69,1
PAIM-1017,Project PAIM-1017 - Solar Park Development,Telecommunications,Ministry of Communications,Coal India Limited,West Bengal,6245.83,6245.83,5957.84,100.0,2003-12-01,2007-11-10,2007-11-10,2009-05-03,0,-1.4,0
PAIM-1020,Project PAIM-1020 - Railway Line Electrification,Railways,Ministry of Railways,POWERGRID,Madhya Pradesh,7390.42,9231.78,5632.08,71.5,2005-12-01,2009-04-14,2012-03-19,2009-05-14,51,24.92,1
PAIM-1035,Project PAIM-1035 - Gas Pipeline Expansion,Telecommunications,Ministry of Communications,NTPC,Haryana,1040.94,1130.76,340.97,27.7,2005-12-01,2011-09-01,2013-07-24,2009-05-14,33,8.63,1
PAIM-1077,Project PAIM-1077 - Metro Line Phase II,Coal,Ministry of Coal,NHAI,Telangana,714.56,806.1,664.26,81.0,2005-12-01,2008-05-19,2009-06-01,2009-05-14,18,12.81,1
PAIM-1080,Project PAIM-1080 - Thermal Power Unit,Water Resources,Ministry of Jal Shakti,NHPC,Punjab,8434.52,12213.35,7114.72,60.0,2005-04-01,2007-08-19,2009-03-28,2009-05-10,28,44.8,1
PAIM-1123,Project PAIM-1123 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,DMRC,Assam,3062.65,3062.65,3062.65,100.0,2003-12-01,2007-12-10,2007-12-10,2009-05-03,0,4.1,0
PAIM-1135,Project PAIM-1135 - Thermal Power Unit,Power & Renewable Energy,Ministry of Power,NHAI,Maharashtra,8060.75,8060.75,4252.2,61.1,2006-08-01,2011-04-07,2011-04-07,2009-05-17,0,2.8,0
PAIM-1140,Project PAIM-1140 - Solar Park Development,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Madhya Pradesh,4993.74,4993.74,4523.53,100.0,2003-12-01,2008-09-05,2008-09-05,2009-05-03,0,4.6,0
PAIM-1196,Project PAIM-1196 - Metro Line Phase II,Road Transport & Highways,Ministry of Road Transport and Highways,GAIL,Bihar,1454.28,1615.29,152.51,9.7,2007-04-01,2012-12-30,2017-12-09,2009-05-20,86,18.12,1
PAIM-1199,Project PAIM-1199 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Indian Railways,Maharashtra,5768.27,6831.5,5436.13,73.0,2004-08-01,2008-03-13,2010-02-24,2009-05-07,34,18.43,1
PAIM-1263,Project PAIM-1263 - Thermal Power Unit,Power & Renewable Energy,Ministry of Power,DMRC,West Bengal,8110.11,8110.11,8110.11,100.0,2003-12-01,2007-07-13,2007-07-13,2009-05-03,0,-1.4,0
PAIM-1278,Project PAIM-1278 - Metro Line Phase II,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,POWERGRID,Haryana,3805.34,5440.58,2802.24,60.0,2003-05-01,2008-03-05,2013-10-01,2009-05-29,97,42.97,1
PAIM-1301,Project PAIM-1301 - Gas Pipeline Expansion,Railways,Ministry of Railways,GAIL,Tamil Nadu,7260.34,8457.27,4868.19,60.0,2003-05-01,2009-01-29,2010-12-22,2009-05-29,33,16.49,1
PAIM-1316,Project PAIM-1316 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,RVNL,Karnataka,3291.52,3291.52,244.39,7.8,2008-08-01,2012-04-12,2012-04-12,2009-05-28,40,22.79,1
PAIM-1322,Project PAIM-1322 - Bridge Construction,Telecommunications,Ministry of Communications,ONGC,Assam,2678.11,2678.11,2678.11,100.0,2002-01-01,2007-01-05,2007-01-05,2009-05-24,0,0.4,0
PAIM-1377,Project PAIM-1377 - Bridge Construction,Coal,Ministry of Coal,NTPC,West Bengal,4275.0,4467.46,4252.93,90.8,2007-04-01,2009-03-21,2009-11-27,2009-05-20,12,7.37,1
PAIM-1381,Project PAIM-1381 - Gas Pipeline Expansion,Railways,Ministry of Railways,POWERGRID,Tamil Nadu,4406.47,4735.42,3147.95,71.2,2006-08-01,2009-08-15,2010-09-17,2009-05-17,19,8.96,1
PAIM-1399,Project PAIM-1399 - Solar Park Development,Power & Renewable Energy,Ministry of Power,Coal India Limited,Madhya Pradesh,7690.86,9998.32,6503.53,64.0,2004-08-01,2008-02-12,2009-12-15,2009-05-07,32,30.0,1
PAIM-1416,Project PAIM-1416 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,DMRC,Rajasthan,2011.63,2011.63,2011.63,100.0,2002-01-01,2005-05-15,2005-05-15,2009-05-24,0,1.6,0
PAIM-1451,Project PAIM-1451 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,POWERGRID,Gujarat,1929.03,2022.26,1422.97,71.3,2002-01-01,2007-11-01,2009-07-23,2009-05-24,30,4.83,1
PAIM-1455,Project PAIM-1455 - Bridge Construction,Water Resources,Ministry of Jal Shakti,Indian Railways,Maharashtra,2556.57,2556.57,2189.15,88.4,2005-12-01,2009-10-11,2009-10-11,2009-05-14,0,2.4,0
PAIM-1465,Project PAIM-1465 - Solar Park Development,Water Resources,Ministry of Jal Shakti,Indian Railways,West Bengal,7328.21,8305.88,7876.09,87.5,2006-08-01,2008-08-20,2009-01-13,2009-05-17,7,16.01,1
PAIM-1475,Project PAIM-1475 - Solar Park Development,Railways,Ministry of Railways,GAIL,Assam,916.95,1000.38,562.3,60.0,2002-01-01,2007-03-06,2009-07-14,2009-05-24,41,9.1,1
PAIM-1476,Project PAIM-1476 - Solar Park Development,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,DMRC,Uttar Pradesh,4420.49,4420.49,4409.6,100.0,2002-09-01,2006-05-13,2006-05-13,2009-05-27,0,-0.8,0
PAIM-1490,Project PAIM-1490 - Solar Park Development,Coal,Ministry of Coal,RVNL,West Bengal,5418.6,5418.6,5050.75,100.0,2002-09-01,2007-02-07,2007-02-07,2009-05-27,0,0.7,0
