project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-108841,"Amended BharatNet Program - KTK, GOA, PY (Department of Telecommunications) (108841)",Infrastructure & Highways,Ministry of Road Transport & Highways,108841,Uttar Pradesh,429.74,429.74,101.32,23.6,2023-03-01,2027-12-31,2028-12-31,2026-06-01,18,0.0,0
PAIM-222253,Amended BharatNet Program - UP (East) (Department of Telecommunications) (222253),Infrastructure & Highways,Ministry of Road Transport & Highways,222253,Uttar Pradesh,719.78,719.78,175.72,24.4,2024-03-01,2028-12-31,2029-12-31,2026-06-01,6,0.0,0
PAIM-708687,Amended BharatNet Program - UP (West) (Department of Telecommunications) (708687),Infrastructure & Highways,Ministry of Road Transport & Highways,708687,Uttar Pradesh,3527.7,3527.7,1378.98,39.1,2024-03-01,2028-12-31,2027-12-31,2026-06-01,36,0.0,0
PAIM-619248,Length 24.819 Km in the state of Arunachal Pradesh on EPC mode Pkg-1 (NHIDCL) (619248),Infrastructure & Highways,Ministry of Road Transport & Highways,619248,Multi-State,2009.76,2009.76,1194.01,59.4,2024-03-01,2026-12-31,2027-12-31,2026-06-01,0,0.0,0
PAIM-619039,Procurement & Construction EPC Basis (MoRTH) (619039),Infrastructure & Highways,Ministry of Road Transport & Highways,619039,Multi-State,1308.24,1308.24,1035.6,79.2,2023-03-01,2027-12-31,2027-12-31,2026-06-01,18,0.0,0
PAIM-619347,2025-26 (MoRTH) (619347),Infrastructure & Highways,Ministry of Road Transport & Highways,619347,Multi-State,3690.6,3690.6,1857.99,50.3,2023-03-01,2026-12-31,2028-12-31,2026-06-01,6,0.0,0
PAIM-618892,"Chainage -Km 33185 to Km 41000, Design Length-7.815 Km Package-IIB (NHAI) (618892)",Infrastructure & Highways,Ministry of Road Transport & Highways,618892,Multi-State,3134.25,3134.25,896.15,28.6,2021-03-01,2027-12-31,2027-12-31,2026-06-01,12,0.0,0
PAIM-618729,junction with  NH-20 in Bongabar village from km 288.600 to km 325.500 Pkg -11 (NHAI) (618729),Infrastructure & Highways,Ministry of Road Transport & Highways,618729,Multi-State,3909.36,3909.36,2544.23,65.1,2023-03-01,2026-12-31,2028-12-31,2026-06-01,24,0.0,0
PAIM-618733,358.500  Pkg -12 (NHAI) (618733),Infrastructure & Highways,Ministry of Road Transport & Highways,618733,Multi-State,2417.72,2417.72,985.44,40.8,2021-03-01,2026-12-31,2029-12-31,2026-06-01,12,0.0,0
PAIM-619204,528550 & LVUP 1 x 15m at Sherekarpada Km. 528800 (NHAI) (619204),Infrastructure & Highways,Ministry of Road Transport & Highways,619204,Maharashtra,2069.98,2069.98,835.71,40.4,2021-03-01,2026-12-31,2027-12-31,2026-06-01,0,0.0,0
PAIM-619298,on EPC mode under NHO (NHAI) (619298),Infrastructure & Highways,Ministry of Road Transport & Highways,619298,Maharashtra,1791.16,1791.16,1031.2,57.6,2021-03-01,2028-12-31,2029-12-31,2026-06-01,6,0.0,0
PAIM-619299,EPC Mode. (NHAI) (619299),Infrastructure & Highways,Ministry of Road Transport & Highways,619299,Maharashtra,1222.07,1222.07,558.09,45.7,2023-03-01,2027-12-31,2029-12-31,2026-06-01,18,0.0,0
PAIM-619300,EPC Mode (NHAI) (619300),Infrastructure & Highways,Ministry of Road Transport & Highways,619300,Maharashtra,2482.98,2482.98,1375.17,55.4,2024-03-01,2027-12-31,2027-12-31,2026-06-01,6,0.0,0
PAIM-618648,"Village Ballowal, km 0000 to km 25240 (NHAI) (618648)",Infrastructure & Highways,Ministry of Road Transport & Highways,618648,Punjab,637.17,637.17,103.87,16.3,2021-03-01,2027-12-31,2028-12-31,2026-06-01,12,0.0,0
PAIM-619270,"Engineering, Procurement & Construction EPC Mode (NHAI) (619270)",Infrastructure & Highways,Ministry of Road Transport & Highways,619270,Rajasthan,3106.45,3106.45,786.67,25.3,2021-03-01,2026-12-31,2027-12-31,2026-06-01,18,0.0,0
PAIM-619271,Section of NH-48 in Udaipur District in the State of Rajasthan on EPC mode (NHAI) (619271),Infrastructure & Highways,Ministry of Road Transport & Highways,619271,Rajasthan,4498.4,4498.4,745.34,16.6,2024-03-01,2026-12-31,2027-12-31,2026-06-01,36,0.0,0
PAIM-618842,Jaunpur Section  Design km 0.00 to Km 53177 of NH-31 (NHAI) (618842),Infrastructure & Highways,Ministry of Road Transport & Highways,618842,Uttar Pradesh,3202.68,3202.68,765.51,23.9,2023-03-01,2028-12-31,2027-12-31,2026-06-01,18,0.0,0
PAIM-706724,Guwahati Airport New Integrated Terminal Building Construction Project (Adani Airport Holdings Limited) (706724),Infrastructure & Highways,Ministry of Civil Aviation,706724,Assam,4054.06,4054.06,740.37,18.3,2024-03-01,2026-12-31,2027-12-31,2026-06-01,6,0.0,0
PAIM-706718,C/o NITB Imphal Airport (Airport Authority of India [AAI]) (706718),Infrastructure & Highways,Ministry of Civil Aviation,706718,Assam,4496.62,4496.62,2572.14,57.2,2024-03-01,2027-12-31,2027-12-31,2026-06-01,36,0.0,0
PAIM-612793,with integrated 10 years maintenance. (Airport Authority of India [AAI]) (612793),Infrastructure & Highways,Ministry of Civil Aviation,612793,Assam,412.28,412.28,70.88,17.2,2024-03-01,2027-12-31,2029-12-31,2026-06-01,36,0.0,0
PAIM-615821,TIRAP OCP (INVALID CO.) (615821),Infrastructure & Highways,Ministry of Civil Aviation,615821,Assam,686.43,686.43,490.84,71.5,2024-03-01,2028-12-31,2028-12-31,2026-06-01,24,0.0,0
PAIM-615820,TIKAK EXTENSION OCP (INVALID CO.) (615820),Infrastructure & Highways,Ministry of Civil Aviation,615820,Assam,2316.5,2316.5,1499.23,64.7,2023-03-01,2028-12-31,2029-12-31,2026-06-01,6,0.0,0
PAIM-612898,"Pradesh (National Institute of Technology, Arunachal Pradesh) (612898)",Infrastructure & Highways,Ministry of Civil Aviation,612898,Assam,1258.18,1258.18,853.53,67.8,2021-03-01,2027-12-31,2029-12-31,2026-06-01,36,0.0,0
PAIM-606112,Tezpur University Projects (Tezpur University) (606112),Infrastructure & Highways,Ministry of Civil Aviation,606112,Assam,3647.75,3647.75,1381.87,37.9,2021-03-01,2027-12-31,2027-12-31,2026-06-01,18,0.0,0
PAIM-612885,"Permanent Campus at Sohra (National Institute of Technology, Meghalaya) (612885)",Infrastructure & Highways,Ministry of Civil Aviation,612885,Multi-State,2857.07,2857.07,1637.68,57.3,2022-03-01,2028-12-31,2028-12-31,2026-06-01,0,0.0,0
PAIM-612876,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl (NIT Mizoram) (612876)",Infrastructure & Highways,Ministry of Civil Aviation,612876,Multi-State,819.75,819.75,381.66,46.6,2022-03-01,2027-12-31,2029-12-31,2026-06-01,18,0.0,0
PAIM-613013,Establishment of NIT Nagaland (NIT Nagaland) (613013),Infrastructure & Highways,Ministry of Civil Aviation,613013,Multi-State,1621.31,1621.31,805.3,49.7,2024-03-01,2028-12-31,2028-12-31,2026-06-01,6,0.0,0
PAIM-612883,District (NIT Sikkim) (612883),Infrastructure & Highways,Ministry of Civil Aviation,612883,Multi-State,2529.72,2529.72,1834.36,72.5,2022-03-01,2027-12-31,2028-12-31,2026-06-01,12,0.0,0
PAIM-609736,Sikkim (Sikkim University) (609736),Infrastructure & Highways,Ministry of Civil Aviation,609736,Multi-State,3676.45,3676.45,890.48,24.2,2024-03-01,2027-12-31,2028-12-31,2026-06-01,0,0.0,0
PAIM-400081,"National Sports University [NSU], Imphal [Manipur] (Department of Sports & Youth Affairs) (400081)",Infrastructure & Highways,Ministry of Civil Aviation,400081,Multi-State,1907.86,1907.86,1323.36,69.4,2023-03-01,2027-12-31,2029-12-31,2026-06-01,6,0.0,0
PAIM-602182,Dibang Multipurpose Project (National Hydroelectric Power Corporation Limited [NHPC]) (602182),Infrastructure & Highways,Ministry of Civil Aviation,602182,Multi-State,2768.5,2768.5,878.46,31.7,2022-03-01,2028-12-31,2029-12-31,2026-06-01,18,0.0,0
PAIM-611698,240MW Heo HE Project (North Eastern Electric Power Corporation Limited) (611698),Infrastructure & Highways,Ministry of Civil Aviation,611698,Multi-State,3786.16,3786.16,2356.35,62.2,2023-03-01,2027-12-31,2029-12-31,2026-06-01,0,0.0,0
PAIM-611699,186 MW Tato-I H E Project (North Eastern Electric Power Corporation Limited) (611699),Infrastructure & Highways,Ministry of Civil Aviation,611699,Multi-State,2212.69,2212.69,1240.04,56.0,2023-03-01,2027-12-31,2027-12-31,2026-06-01,18,0.0,0
PAIM-611716,700 MW Tato-II HE Project (North Eastern Electric Power Corporation Limited) (611716),Infrastructure & Highways,Ministry of Civil Aviation,611716,Multi-State,1671.0,1671.0,816.94,48.9,2021-03-01,2027-12-31,2029-12-31,2026-06-01,12,0.0,0
PAIM-619311,Kalai-II Hydro Electric Project [1200 MW] (THDC India Limited) (619311),Infrastructure & Highways,Ministry of Civil Aviation,619311,Multi-State,3403.66,3403.66,2009.86,59.0,2021-03-01,2027-12-31,2027-12-31,2026-06-01,6,0.0,0
PAIM-602096,Subansiri Lower HE Project [2000 MW] (National Hydroelectric Power Corporation Limited [NHPC]) (602096),Infrastructure & Highways,Ministry of Civil Aviation,602096,Assam,699.64,699.64,320.48,45.8,2024-03-01,2028-12-31,2027-12-31,2026-06-01,24,0.0,0
