project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1058,Project PAIM-1058 - Railway Line Electrification,Telecommunications,Ministry of Communications,ONGC,West Bengal,1246.65,1480.01,187.13,13.4,2003-01-01,2008-10-01,2012-07-17,2005-02-19,66,30.63,1
PAIM-1103,Project PAIM-1103 - Bridge Construction,Power & Renewable Energy,Ministry of Power,POWERGRID,Assam,5885.29,6277.13,5034.06,90.8,2003-01-01,2004-07-24,2005-04-23,2005-02-19,13,10.89,1
PAIM-1152,Project PAIM-1152 - Bridge Construction,Telecommunications,Ministry of Communications,ONGC,Punjab,396.36,424.16,413.06,87.3,2001-09-01,2003-02-23,2003-06-28,2005-02-12,6,7.01,0
PAIM-1229,Project PAIM-1229 - Expressway,Power & Renewable Energy,Ministry of Power,NHAI,Odisha,534.63,534.63,30.89,6.0,2004-05-01,2008-09-07,2008-09-07,2005-02-25,32,8.05,1
PAIM-1268,Project PAIM-1268 - Bridge Construction,Coal,Ministry of Coal,NHPC,West Bengal,3378.92,4108.06,886.08,23.1,2002-05-01,2007-07-04,2009-09-29,2005-02-14,39,25.9,1
PAIM-1324,Project PAIM-1324 - Railway Line Electrification,Coal,Ministry of Coal,CPWD,Telangana,6392.44,6392.44,1944.59,33.7,2003-09-01,2008-05-07,2008-05-07,2005-02-22,0,-0.8,0
PAIM-1325,Project PAIM-1325 - Metro Line Phase II,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Coal India Limited,Punjab,2356.9,2356.9,431.66,17.1,2004-05-01,2009-08-03,2009-08-03,2005-02-25,0,0.0,0
PAIM-1385,Project PAIM-1385 - Metro Line Phase II,Road Transport & Highways,Ministry of Road Transport and Highways,CPWD,Karnataka,6371.96,7482.46,6281.15,77.5,2002-05-01,2003-10-23,2004-10-13,2005-02-14,17,20.91,1
PAIM-1394,Project PAIM-1394 - Railway Line Electrification,Coal,Ministry of Coal,DMRC,Uttar Pradesh,965.12,1019.04,714.33,74.0,2003-01-01,2005-03-21,2006-06-25,2005-02-19,22,9.14,1
PAIM-1453,Project PAIM-1453 - Metro Line Phase II,Railways,Ministry of Railways,CPWD,Haryana,7880.33,7880.33,1689.09,23.5,2004-05-01,2008-01-11,2008-01-11,2005-02-25,0,4.2,0
PAIM-1462,Project PAIM-1462 - Bridge Construction,Water Resources,Ministry of Jal Shakti,Indian Railways,Gujarat,3626.52,3626.52,1597.39,39.1,2003-01-01,2008-10-31,2008-10-31,2005-02-19,0,4.7,0
