project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1010,Project PAIM-1010 - Gas Pipeline Expansion,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Coal India Limited,Gujarat,7520.01,9784.99,5066.98,47.7,2023-09-01,2026-05-18,2028-05-22,2025-10-20,35,49.29,1
PAIM-1018,Project PAIM-1018 - Metro Line Phase II,Road Transport & Highways,Ministry of Road Transport and Highways,ONGC,Punjab,277.79,349.54,235.79,65.0,2019-10-01,2023-06-12,2025-08-17,2025-10-29,38,25.83,1
PAIM-1060,Project PAIM-1060 - Thermal Power Unit,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHAI,Madhya Pradesh,4029.4,5001.93,3017.1,60.0,2018-06-01,2021-02-15,2022-01-17,2025-10-22,16,24.14,1
PAIM-1065,Project PAIM-1065 - Railway Line Electrification,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,DMRC,Rajasthan,2461.51,2461.51,2455.81,100.0,2019-10-01,2025-04-02,2025-04-02,2025-10-29,0,3.1,0
PAIM-1108,Project PAIM-1108 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,CPWD,Madhya Pradesh,1697.51,1931.33,1810.35,87.5,2023-01-01,2025-09-17,2026-09-08,2025-10-17,17,16.53,1
PAIM-1110,Project PAIM-1110 - Gas Pipeline Expansion,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Indian Railways,Madhya Pradesh,5165.44,5165.44,2713.88,58.9,2023-09-01,2027-05-13,2027-05-13,2025-10-20,0,0.5,0
PAIM-1151,Project PAIM-1151 - Railway Line Electrification,Power & Renewable Energy,Ministry of Power,DMRC,Uttar Pradesh,923.42,923.42,810.22,100.0,2021-09-01,2025-01-13,2025-01-13,2025-10-10,0,-1.9,0
PAIM-1186,Project PAIM-1186 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,Coal India Limited,West Bengal,789.34,911.57,260.52,25.9,2023-09-01,2027-10-10,2030-06-01,2025-10-20,46,25.34,1
PAIM-1191,Project PAIM-1191 - Gas Pipeline Expansion,Road Transport & Highways,Ministry of Road Transport and Highways,CPWD,Haryana,3432.42,3432.42,3231.21,100.0,2023-09-01,2025-04-23,2025-04-23,2025-10-20,0,-0.4,0
PAIM-1192,Project PAIM-1192 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,Indian Railways,Telangana,450.02,547.08,377.72,64.2,2018-06-01,2020-10-18,2021-10-09,2025-10-22,17,21.57,1
PAIM-1203,Project PAIM-1203 - Thermal Power Unit,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NTPC,Maharashtra,2822.23,3366.37,2457.42,73.0,2021-01-01,2024-03-16,2025-01-03,2025-10-07,14,19.28,1
PAIM-1223,Project PAIM-1223 - Thermal Power Unit,Road Transport & Highways,Ministry of Road Transport and Highways,NTPC,Uttar Pradesh,1874.95,1874.95,1805.58,100.0,2020-05-01,2022-10-18,2022-10-18,2025-10-02,0,3.5,0
PAIM-1235,Project PAIM-1235 - Gas Pipeline Expansion,Telecommunications,Ministry of Communications,Coal India Limited,Odisha,880.18,880.18,880.18,100.0,2018-06-01,2021-09-13,2021-09-13,2025-10-22,0,4.7,0
PAIM-1272,Project PAIM-1272 - Metro Line Phase II,Coal,Ministry of Coal,DMRC,Gujarat,625.97,625.97,280.17,43.5,2023-09-01,2028-11-03,2028-11-03,2025-10-20,0,3.7,0
PAIM-1291,Project PAIM-1291 - Expressway,Coal,Ministry of Coal,NHAI,Rajasthan,4437.87,4920.02,3115.24,68.7,2017-10-01,2021-07-12,2022-07-03,2025-10-19,17,10.86,1
PAIM-1300,Project PAIM-1300 - Bridge Construction,Telecommunications,Ministry of Communications,POWERGRID,Haryana,1995.95,1995.95,1995.95,100.0,2019-10-01,2023-06-12,2023-06-12,2025-10-29,0,-1.9,0
PAIM-1312,Project PAIM-1312 - Expressway,Railways,Ministry of Railways,ONGC,Gujarat,1240.8,1420.23,1183.15,89.0,2023-09-01,2025-09-20,2026-12-25,2025-10-20,22,23.66,1
PAIM-1317,Project PAIM-1317 - Metro Line Phase II,Coal,Ministry of Coal,NHPC,Maharashtra,3877.06,3877.06,2939.78,73.5,2021-09-01,2027-05-03,2027-05-03,2025-10-10,0,-0.2,0
PAIM-1320,Project PAIM-1320 - Solar Park Development,Power & Renewable Energy,Ministry of Power,NHAI,Uttar Pradesh,3147.66,3522.38,2644.71,67.5,2019-02-01,2022-03-17,2023-10-05,2025-10-27,27,11.9,1
PAIM-1384,Project PAIM-1384 - Metro Line Phase II,Railways,Ministry of Railways,Indian Railways,Odisha,3033.62,3543.12,1992.56,60.8,2017-10-01,2019-08-22,2019-12-25,2025-10-19,6,16.8,1
PAIM-1389,Project PAIM-1389 - Thermal Power Unit,Road Transport & Highways,Ministry of Road Transport and Highways,NHAI,Haryana,3558.78,3558.78,3558.78,100.0,2019-02-01,2023-10-08,2023-10-08,2025-10-27,0,0.0,0
PAIM-1427,Project PAIM-1427 - Thermal Power Unit,Coal,Ministry of Coal,CPWD,Bihar,1465.13,1465.13,1465.13,100.0,2017-10-01,2021-11-09,2021-11-09,2025-10-19,0,0.8,0
PAIM-1428,Project PAIM-1428 - Gas Pipeline Expansion,Telecommunications,Ministry of Communications,RVNL,Andhra Pradesh,7363.86,7363.86,4871.64,63.4,2022-05-01,2027-12-01,2027-12-01,2025-10-12,0,3.8,0
PAIM-1488,Project PAIM-1488 - Metro Line Phase II,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,CPWD,Bihar,1716.55,2220.43,1275.97,64.0,2021-01-01,2022-07-25,2023-08-07,2025-10-07,18,29.35,1
