project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1032,Project PAIM-1032 - Metro Line Phase II,Road Transport & Highways,Ministry of Road Transport and Highways,NTPC,Bihar,4311.99,4741.73,2182.31,48.1,2015-04-01,2019-02-09,2020-01-31,2018-01-15,17,11.96,1
PAIM-1039,Project PAIM-1039 - Railway Line Electrification,Railways,Ministry of Railways,GAIL,Bihar,3691.49,4179.39,1376.38,31.9,2014-08-01,2019-10-04,2021-08-26,2018-01-12,33,13.22,1
PAIM-1048,Project PAIM-1048 - Railway Line Electrification,Railways,Ministry of Railways,POWERGRID,Maharashtra,1695.86,1958.92,200.42,9.8,2016-08-01,2021-05-07,2024-09-27,2018-01-23,59,39.89,1
PAIM-1051,Project PAIM-1051 - Solar Park Development,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,CPWD,Madhya Pradesh,2418.59,2714.55,1774.33,60.0,2010-09-01,2013-08-16,2014-10-10,2018-01-22,20,12.24,1
PAIM-1178,Project PAIM-1178 - Expressway,Railways,Ministry of Railways,RVNL,Madhya Pradesh,7851.77,7851.77,7689.5,100.0,2012-01-01,2016-02-09,2016-02-09,2018-01-29,0,2.6,0
PAIM-1239,Project PAIM-1239 - Bridge Construction,Power & Renewable Energy,Ministry of Power,CPWD,Andhra Pradesh,2296.47,2847.85,1697.97,62.4,2015-12-01,2018-05-19,2019-08-23,2018-01-19,22,39.29,1
PAIM-1240,Project PAIM-1240 - Solar Park Development,Water Resources,Ministry of Jal Shakti,POWERGRID,Haryana,6342.59,6342.59,2099.42,30.8,2016-08-01,2021-10-04,2021-10-04,2018-01-23,0,2.7,0
PAIM-1241,Project PAIM-1241 - Metro Line Phase II,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,GAIL,Assam,5269.82,5722.63,3332.65,65.0,2012-01-01,2017-06-03,2019-07-20,2018-01-29,37,8.59,1
PAIM-1264,Project PAIM-1264 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,RVNL,Telangana,3759.13,3759.13,3637.05,98.4,2013-04-01,2018-01-05,2018-01-05,2018-01-05,0,-0.4,0
PAIM-1265,Project PAIM-1265 - Bridge Construction,Telecommunications,Ministry of Communications,CPWD,Bihar,5680.35,5680.35,4874.45,100.0,2012-08-01,2016-01-13,2016-01-13,2018-01-02,0,-2.0,0
PAIM-1286,Project PAIM-1286 - Thermal Power Unit,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,DMRC,Punjab,3582.91,3913.38,2538.03,60.0,2010-09-01,2012-03-24,2013-01-11,2018-01-22,14,9.22,1
PAIM-1310,Project PAIM-1310 - Bridge Construction,Road Transport & Highways,Ministry of Road Transport and Highways,NHAI,West Bengal,2824.49,2824.49,2824.49,100.0,2014-08-01,2016-11-18,2016-11-18,2018-01-12,0,0.4,0
PAIM-1358,Project PAIM-1358 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,NHAI,Bihar,485.04,653.66,385.93,60.0,2012-01-01,2015-02-14,2016-09-23,2018-01-29,28,34.76,1
PAIM-1375,Project PAIM-1375 - Expressway,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,RVNL,Gujarat,8386.02,9618.62,6838.97,69.3,2013-12-01,2017-01-14,2019-05-04,2018-01-09,40,14.7,1
PAIM-1409,Project PAIM-1409 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,ONGC,Gujarat,4080.87,4765.9,3010.12,65.0,2012-01-01,2016-01-10,2017-07-09,2018-01-29,26,16.79,1
PAIM-1420,Project PAIM-1420 - Bridge Construction,Water Resources,Ministry of Jal Shakti,Coal India Limited,Odisha,1077.38,1186.22,520.16,49.6,2014-08-01,2019-06-06,2020-04-16,2018-01-12,15,10.1,1
PAIM-1425,Project PAIM-1425 - Thermal Power Unit,Road Transport & Highways,Ministry of Road Transport and Highways,NHPC,Assam,942.28,1058.23,719.18,60.0,2010-01-01,2015-08-03,2019-07-22,2018-01-19,69,12.31,1
PAIM-1434,Project PAIM-1434 - Bridge Construction,Telecommunications,Ministry of Communications,Coal India Limited,Madhya Pradesh,6620.28,6620.28,3090.14,43.4,2016-08-01,2020-02-12,2020-02-12,2018-01-23,0,-1.1,0
PAIM-1444,Project PAIM-1444 - Gas Pipeline Expansion,Coal,Ministry of Coal,RVNL,Bihar,8303.79,9797.79,3045.57,28.2,2016-08-01,2019-04-18,2022-04-14,2018-01-23,52,46.26,1
PAIM-1452,Project PAIM-1452 - Bridge Construction,Water Resources,Ministry of Jal Shakti,POWERGRID,Haryana,4123.82,4526.01,857.4,17.1,2015-12-01,2021-08-31,2023-07-24,2018-01-19,33,15.96,1
PAIM-1458,Project PAIM-1458 - Gas Pipeline Expansion,Road Transport & Highways,Ministry of Road Transport and Highways,Coal India Limited,Uttar Pradesh,5049.95,5049.95,5049.95,100.0,2015-04-01,2016-12-21,2016-12-21,2018-01-15,0,0.4,0
