project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1136,Project PAIM-1136 - Gas Pipeline Expansion,Road Transport & Highways,Ministry of Road Transport and Highways,GAIL,Haryana,3764.01,3764.01,3764.01,100.0,2003-06-01,2006-11-12,2006-11-12,2008-03-06,0,4.9,0
PAIM-1172,Project PAIM-1172 - Expressway,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,ONGC,Gujarat,1570.46,1732.1,1250.1,80.8,2004-02-01,2007-01-16,2008-01-07,2008-03-11,17,10.29,1
PAIM-1213,Project PAIM-1213 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,Coal India Limited,Bihar,7811.48,7811.48,315.88,4.1,2007-06-01,2012-07-04,2012-07-04,2008-03-27,41,24.5,1
PAIM-1230,Project PAIM-1230 - Bridge Construction,Railways,Ministry of Railways,NHAI,Maharashtra,1144.82,1578.84,904.2,65.5,2004-02-01,2005-10-23,2007-02-17,2008-03-11,23,37.91,1
PAIM-1244,Project PAIM-1244 - Railway Line Electrification,Coal,Ministry of Coal,Indian Railways,Odisha,6093.35,8530.74,3620.83,42.2,2004-02-01,2008-10-07,2011-06-21,2008-03-11,47,40.0,1
PAIM-1277,Project PAIM-1277 - Railway Line Electrification,Coal,Ministry of Coal,ONGC,Telangana,5399.93,5399.93,1913.41,37.2,2007-06-01,2009-08-19,2009-08-19,2008-03-27,0,1.0,0
PAIM-1333,Project PAIM-1333 - Metro Line Phase II,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,CPWD,Andhra Pradesh,6178.56,6432.1,3966.16,61.7,2006-10-01,2008-08-21,2009-04-08,2008-03-24,11,10.55,1
PAIM-1356,Project PAIM-1356 - Solar Park Development,Railways,Ministry of Railways,GAIL,Madhya Pradesh,3856.2,3856.2,2771.02,79.4,2004-10-01,2009-02-07,2009-02-07,2008-03-14,0,3.1,0
PAIM-1388,Project PAIM-1388 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,DMRC,Andhra Pradesh,3851.72,4216.8,875.04,18.1,2006-10-01,2010-07-12,2012-06-24,2008-03-24,34,24.37,1
PAIM-1449,Project PAIM-1449 - Expressway,Power & Renewable Energy,Ministry of Power,NHPC,Bihar,4976.93,6285.76,3231.27,60.0,2001-07-01,2005-04-11,2007-07-08,2008-03-26,39,26.3,1
