project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1051,Project PAIM-1051 - Solar Park Development,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,CPWD,Madhya Pradesh,2418.59,2714.55,2469.46,81.0,2010-09-01,2013-08-16,2014-10-10,2014-02-12,20,12.24,1
PAIM-1178,Project PAIM-1178 - Expressway,Railways,Ministry of Railways,RVNL,Madhya Pradesh,7851.77,7851.77,4658.64,53.6,2012-01-01,2016-02-09,2016-02-09,2014-02-19,0,2.6,0
PAIM-1213,Project PAIM-1213 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,Coal India Limited,Bihar,7811.48,9725.14,6168.96,60.0,2007-06-01,2012-07-04,2014-11-12,2014-02-24,41,24.5,1
PAIM-1228,Project PAIM-1228 - Expressway,Coal,Ministry of Coal,NHAI,Uttar Pradesh,3232.29,3232.29,1850.91,65.9,2012-09-01,2014-11-20,2014-11-20,2014-02-23,0,-1.1,0
PAIM-1241,Project PAIM-1241 - Metro Line Phase II,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,GAIL,Assam,5269.82,5546.54,826.92,17.3,2012-01-01,2017-06-03,2019-07-20,2014-02-19,37,8.59,1
PAIM-1277,Project PAIM-1277 - Railway Line Electrification,Coal,Ministry of Coal,ONGC,Telangana,5399.93,5399.93,4952.19,100.0,2007-06-01,2009-08-19,2009-08-19,2014-02-24,0,1.0,0
PAIM-1286,Project PAIM-1286 - Thermal Power Unit,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,DMRC,Punjab,3582.91,3913.38,3041.57,71.5,2010-09-01,2012-03-24,2013-01-11,2014-02-12,14,9.22,1
PAIM-1288,Project PAIM-1288 - Metro Line Phase II,Telecommunications,Ministry of Communications,NHPC,Rajasthan,2302.45,2302.45,2180.5,100.0,2008-09-01,2010-02-23,2010-02-23,2014-02-02,0,4.7,0
PAIM-1333,Project PAIM-1333 - Metro Line Phase II,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,CPWD,Andhra Pradesh,6178.56,6830.52,4028.24,64.2,2006-10-01,2008-08-21,2009-04-08,2014-02-21,11,10.55,1
PAIM-1358,Project PAIM-1358 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,NHAI,Bihar,485.04,588.09,244.99,41.5,2012-01-01,2015-02-14,2016-09-23,2014-02-19,28,34.76,1
PAIM-1388,Project PAIM-1388 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,DMRC,Andhra Pradesh,3851.72,4790.51,2873.98,60.0,2006-10-01,2010-07-12,2012-06-24,2014-02-21,34,24.37,1
PAIM-1409,Project PAIM-1409 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,ONGC,Gujarat,4080.87,4499.5,1334.98,30.7,2012-01-01,2016-01-10,2017-07-09,2014-02-19,26,16.79,1
PAIM-1410,Project PAIM-1410 - Thermal Power Unit,Telecommunications,Ministry of Communications,CPWD,Gujarat,3651.89,4035.53,3596.02,77.5,2009-05-01,2013-10-07,2015-04-06,2014-02-04,26,10.51,1
PAIM-1425,Project PAIM-1425 - Thermal Power Unit,Road Transport & Highways,Ministry of Road Transport and Highways,NHPC,Assam,942.28,1058.23,241.6,25.3,2010-01-01,2015-08-03,2019-07-22,2014-02-09,69,12.31,1
PAIM-1482,Project PAIM-1482 - Metro Line Phase II,Road Transport & Highways,Ministry of Road Transport and Highways,NTPC,Punjab,6983.66,6983.66,2614.45,36.0,2013-05-01,2015-08-19,2015-08-19,2014-02-25,0,1.7,0
PAIM-1483,Project PAIM-1483 - Gas Pipeline Expansion,Railways,Ministry of Railways,RVNL,Rajasthan,1497.83,1588.27,108.19,6.6,2012-09-01,2018-06-02,2020-12-11,2014-02-23,44,15.53,1
