project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1026,Project PAIM-1026 - Expressway,Water Resources,Ministry of Jal Shakti,NHAI,Uttar Pradesh,8393.76,9945.18,5994.18,55.1,2017-11-01,2021-12-10,2024-08-01,2021-04-14,46,18.48,1
PAIM-1032,Project PAIM-1032 - Metro Line Phase II,Road Transport & Highways,Ministry of Road Transport and Highways,NTPC,Bihar,4311.99,4827.67,2811.19,65.0,2015-04-01,2019-02-09,2020-01-31,2021-04-29,17,11.96,1
PAIM-1039,Project PAIM-1039 - Railway Line Electrification,Railways,Ministry of Railways,GAIL,Bihar,3691.49,4179.39,2585.66,60.0,2014-08-01,2019-10-04,2021-08-26,2021-04-26,33,13.22,1
PAIM-1069,Project PAIM-1069 - Bridge Construction,Power & Renewable Energy,Ministry of Power,Indian Railways,Rajasthan,5718.32,5718.32,1802.78,35.9,2020-07-01,2022-01-22,2022-01-22,2021-04-27,8,17.58,1
PAIM-1095,Project PAIM-1095 - Expressway,Railways,Ministry of Railways,DMRC,Karnataka,4292.99,5394.32,3653.74,60.0,2015-11-01,2020-05-08,2027-03-12,2021-04-03,119,25.65,1
PAIM-1116,Project PAIM-1116 - Railway Line Electrification,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Indian Railways,Telangana,206.03,220.56,199.25,79.3,2015-11-01,2019-02-13,2019-11-13,2021-04-03,13,7.05,1
PAIM-1190,Project PAIM-1190 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,DMRC,Maharashtra,3491.77,4443.81,2883.68,64.0,2016-07-01,2019-02-16,2020-10-16,2021-04-06,29,27.27,1
PAIM-1245,Project PAIM-1245 - Gas Pipeline Expansion,Road Transport & Highways,Ministry of Road Transport and Highways,Coal India Limited,West Bengal,4810.73,4810.73,2223.43,53.6,2018-07-01,2023-12-02,2023-12-02,2021-04-16,0,3.9,0
PAIM-1249,Project PAIM-1249 - Solar Park Development,Telecommunications,Ministry of Communications,GAIL,Odisha,4956.8,6601.42,4448.49,64.0,2016-07-01,2020-07-10,2023-02-09,2021-04-06,45,33.18,1
PAIM-1258,Project PAIM-1258 - Metro Line Phase II,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Indian Railways,Gujarat,4093.09,4093.09,3508.65,100.0,2016-07-01,2019-09-14,2019-09-14,2021-04-06,0,2.4,0
PAIM-1264,Project PAIM-1264 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,RVNL,Telangana,3759.13,3759.13,3759.13,100.0,2013-04-01,2018-01-05,2018-01-05,2021-04-19,0,-0.4,0
PAIM-1285,Project PAIM-1285 - Railway Line Electrification,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,West Bengal,3145.61,4029.27,2650.64,69.3,2017-03-01,2019-01-20,2019-10-20,2021-04-09,13,28.09,1
PAIM-1310,Project PAIM-1310 - Bridge Construction,Road Transport & Highways,Ministry of Road Transport and Highways,NHAI,West Bengal,2824.49,2824.49,2824.49,100.0,2014-08-01,2016-11-18,2016-11-18,2021-04-26,0,0.4,0
PAIM-1342,Project PAIM-1342 - Gas Pipeline Expansion,Railways,Ministry of Railways,CPWD,Haryana,1589.12,1868.02,551.93,27.3,2018-07-01,2024-01-01,2024-12-02,2021-04-16,16,21.06,1
PAIM-1375,Project PAIM-1375 - Expressway,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,RVNL,Gujarat,8386.02,9618.62,6555.88,60.0,2013-12-01,2017-01-14,2019-05-04,2021-04-23,40,14.7,1
PAIM-1382,Project PAIM-1382 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,GAIL,Haryana,7488.66,7488.66,1790.87,24.5,2020-07-01,2024-01-12,2024-01-12,2021-04-27,0,-1.8,0
PAIM-1398,Project PAIM-1398 - Solar Park Development,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHAI,Telangana,6531.53,7812.28,1416.46,18.8,2019-03-01,2023-12-05,2026-12-01,2021-04-19,52,32.09,1
PAIM-1420,Project PAIM-1420 - Bridge Construction,Water Resources,Ministry of Jal Shakti,Coal India Limited,Odisha,1077.38,1186.22,839.98,74.0,2014-08-01,2019-06-06,2020-04-16,2021-04-26,15,10.1,1
PAIM-1458,Project PAIM-1458 - Gas Pipeline Expansion,Road Transport & Highways,Ministry of Road Transport and Highways,Coal India Limited,Uttar Pradesh,5049.95,5049.95,4868.38,100.0,2015-04-01,2016-12-21,2016-12-21,2021-04-29,0,0.4,0
PAIM-1464,Project PAIM-1464 - Railway Line Electrification,Road Transport & Highways,Ministry of Road Transport and Highways,NTPC,Maharashtra,7127.02,7642.53,6891.98,84.7,2017-03-01,2020-07-13,2021-07-04,2021-04-09,17,7.23,1
PAIM-1466,Project PAIM-1466 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Coal India Limited,West Bengal,3728.51,4213.42,3687.64,77.5,2016-07-01,2020-03-12,2021-05-06,2021-04-06,20,13.01,1
PAIM-1480,Project PAIM-1480 - Bridge Construction,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,NHPC,Punjab,5763.16,6811.06,1649.72,26.4,2017-11-01,2023-03-05,2027-10-30,2021-04-14,81,18.18,1
