project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-1037,Project PAIM-1037 - Metro Line Phase II,Water Resources,Ministry of Jal Shakti,POWERGRID,Assam,6734.79,7723.08,7443.01,87.3,2006-09-01,2009-06-17,2010-04-06,2010-02-12,14,14.67,1
PAIM-1044,Project PAIM-1044 - Railway Line Electrification,Power & Renewable Energy,Ministry of Power,POWERGRID,Rajasthan,2388.33,2388.33,2334.75,100.0,2005-05-01,2008-08-13,2008-08-13,2010-02-04,0,4.6,0
PAIM-1070,Project PAIM-1070 - Railway Line Electrification,Road Transport & Highways,Ministry of Road Transport and Highways,NHAI,Odisha,7405.36,9200.77,6329.6,78.0,2008-01-01,2009-07-24,2010-06-25,2010-02-19,16,39.67,1
PAIM-1100,Project PAIM-1100 - Railway Line Electrification,Power & Renewable Energy,Ministry of Power,NTPC,Punjab,4302.09,4886.09,4333.15,90.0,2007-05-01,2009-06-19,2009-11-12,2010-02-14,7,16.29,1
PAIM-1126,Project PAIM-1126 - Expressway,Road Transport & Highways,Ministry of Road Transport and Highways,GAIL,Uttar Pradesh,2456.02,2714.76,2383.66,80.8,2006-01-01,2007-09-23,2008-06-22,2010-02-09,13,10.53,1
PAIM-1136,Project PAIM-1136 - Gas Pipeline Expansion,Road Transport & Highways,Ministry of Road Transport and Highways,GAIL,Haryana,3764.01,3764.01,3764.01,100.0,2003-06-01,2006-11-12,2006-11-12,2010-02-24,0,4.9,0
PAIM-1147,Project PAIM-1147 - Solar Park Development,Power & Renewable Energy,Ministry of Power,Coal India Limited,Assam,3587.32,3819.37,3532.34,80.8,2006-01-01,2009-05-15,2010-05-06,2010-02-09,17,6.47,1
PAIM-1165,Project PAIM-1165 - Solar Park Development,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,RVNL,Haryana,5718.18,7497.2,1877.04,28.5,2006-09-01,2012-02-02,2016-07-27,2010-02-12,78,31.11,1
PAIM-1174,Project PAIM-1174 - Thermal Power Unit,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,Indian Railways,Rajasthan,5982.73,6511.34,1375.71,19.7,2008-01-01,2013-02-03,2015-12-20,2010-02-19,50,14.46,1
PAIM-1205,Project PAIM-1205 - Railway Line Electrification,Power & Renewable Energy,Ministry of Power,NTPC,West Bengal,2256.8,2719.26,1572.77,60.4,2006-01-01,2010-03-11,2013-05-29,2010-02-09,56,20.49,1
PAIM-1243,Project PAIM-1243 - Bridge Construction,Coal,Ministry of Coal,Coal India Limited,Bihar,5454.95,7802.06,4726.49,60.0,2006-01-01,2009-09-12,2014-02-15,2010-02-09,77,43.03,1
PAIM-1271,Project PAIM-1271 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,DMRC,Odisha,2192.87,2192.87,1598.96,66.1,2006-09-01,2012-01-03,2012-01-03,2010-02-12,0,-1.3,0
PAIM-1288,Project PAIM-1288 - Metro Line Phase II,Telecommunications,Ministry of Communications,NHPC,Rajasthan,2302.45,2302.45,2302.45,95.0,2008-09-01,2010-02-23,2010-02-23,2010-02-23,0,4.7,0
PAIM-1307,Project PAIM-1307 - Solar Park Development,Telecommunications,Ministry of Communications,Coal India Limited,Rajasthan,4867.35,4867.35,2607.91,47.6,2008-01-01,2012-09-06,2012-09-06,2010-02-19,0,1.9,0
PAIM-1323,Project PAIM-1323 - Gas Pipeline Expansion,Coal,Ministry of Coal,NHAI,Odisha,6717.97,6717.97,3062.54,42.9,2008-01-01,2013-04-04,2013-04-04,2010-02-19,0,0.9,0
PAIM-1364,Project PAIM-1364 - Railway Line Electrification,Coal,Ministry of Coal,NHPC,Maharashtra,769.37,889.36,230.49,28.7,2006-09-01,2011-11-04,2016-09-02,2010-02-12,84,15.6,1
PAIM-1374,Project PAIM-1374 - Thermal Power Unit,Coal,Ministry of Coal,GAIL,Uttar Pradesh,5431.14,5431.14,4947.9,100.0,2004-09-01,2008-12-09,2008-12-09,2010-02-02,0,4.0,0
PAIM-1395,Project PAIM-1395 - Railway Line Electrification,Coal,Ministry of Coal,DMRC,Punjab,5739.59,6632.68,4330.06,60.0,2005-05-01,2009-05-10,2015-07-26,2010-02-04,108,15.56,1
PAIM-1410,Project PAIM-1410 - Thermal Power Unit,Telecommunications,Ministry of Communications,CPWD,Gujarat,3651.89,3651.89,239.44,7.2,2009-05-01,2013-10-07,2013-10-07,2010-02-25,26,10.51,1
PAIM-1439,Project PAIM-1439 - Thermal Power Unit,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHAI,Andhra Pradesh,2534.98,2858.83,2269.96,87.5,2007-05-01,2008-11-21,2009-05-29,2010-02-14,9,15.33,1
