project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk
PAIM-619289,69520 to Km 95580 Pkg-1 (NHAI) (619289),Infrastructure & Highways,Ministry of Road Transport & Highways,619289,Bihar,533.84,533.84,253.76,47.5,2021-03-01,2027-12-31,2027-12-31,2026-03-01,36,0.0,0
PAIM-619301,Munger Ghat  NH-333 B (NHAI) (619301),Infrastructure & Highways,Ministry of Road Transport & Highways,619301,Bihar,3164.09,3164.09,818.29,25.9,2022-03-01,2026-12-31,2029-12-31,2026-03-01,6,0.0,0
PAIM-619305,from Km 125000 to Km 157350 Pkg-3 (NHAI) (619305),Infrastructure & Highways,Ministry of Road Transport & Highways,619305,Bihar,3662.62,3662.62,2168.17,59.2,2021-03-01,2028-12-31,2028-12-31,2026-03-01,36,0.0,0
PAIM-619306,4L of Munger  Mirzachauki section from Km 95580 to Km 125000 Pkg-2 (NHAI) (619306),Infrastructure & Highways,Ministry of Road Transport & Highways,619306,Bihar,3708.06,3708.06,2433.79,65.6,2023-03-01,2028-12-31,2028-12-31,2026-03-01,6,0.0,0
PAIM-619307,4L of Munger  Mirzachauki section from Km 157350 to Km 193931 Pkg-4 (NHAI) (619307),Infrastructure & Highways,Ministry of Road Transport & Highways,619307,Bihar,3763.54,3763.54,1236.94,32.9,2022-03-01,2028-12-31,2029-12-31,2026-03-01,24,0.0,0
PAIM-619291,4L Poanta SahebMednipur from Km. 435.65 to km. 458.65 of NH-07Pkg-1 (NHAI) (619291),Infrastructure & Highways,Ministry of Road Transport & Highways,619291,Bihar,2871.65,2871.65,1614.77,56.2,2022-03-01,2026-12-31,2029-12-31,2026-03-01,0,0.0,0
PAIM-619251,140.950 of NH-56 old NH No. 113 on EPC mode in the State of Rajasthan. (MoRTH) (619251),Infrastructure & Highways,Ministry of Road Transport & Highways,619251,Rajasthan,1479.91,1479.91,555.22,37.5,2023-03-01,2027-12-31,2029-12-31,2026-03-01,0,0.0,0
PAIM-619308,Dehradun  section  from Km.0 to Km.8.3 of NH-72A  Package-1 (NHAI) (619308),Infrastructure & Highways,Ministry of Road Transport & Highways,619308,Uttar Pradesh,1151.3,1151.3,828.57,72.0,2024-03-01,2028-12-31,2027-12-31,2026-03-01,0,0.0,0
PAIM-619292,4L Medinipur to Ballupur from Km. 458.65 to Km. 487.65 of NH-07Pkg-2 (NHAI) (619292),Infrastructure & Highways,Ministry of Road Transport & Highways,619292,Uttar Pradesh,1539.68,1539.68,1149.11,74.6,2022-03-01,2027-12-31,2029-12-31,2026-03-01,6,0.0,0
PAIM-619293,Mode in the State of Uttarakhand under NHO (NHAI) (619293),Infrastructure & Highways,Ministry of Road Transport & Highways,619293,Multi-State,1083.15,1083.15,872.05,80.5,2024-03-01,2026-12-31,2027-12-31,2026-03-01,24,0.0,0
